Company Name,Near term - Target Year search terms,Long term - Target Year search terms,Net-Zero Year search terms,variable,value,Near term - Target Year match,Long term - Target Year match,Net-Zero Year match
Adva Optical Networking SE,['2032'],,,0,ADVA commits to reduce absolute scope 1 and scope 2 GHG emissions 67% by 2032 from a 2016 base year,x,,
Adva Optical Networking SE,['2032'],,,1,ADVA also commits to reduce scope 3 GHG emissions 30% per product and 3% in absolute emissions terms by 2032 from a 2016 base year,x,,
"Advanced Chemistry Development, Inc. (ACD/Labs)",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"Advanced Chemistry Development, Inc. (ACD/Labs)",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Advanced Chemistry Development, Inc",,,
"Advanced Chemistry Development, Inc. (ACD/Labs)",['2030'],,,2,"(ACD/Labs) commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"Advanced Micro Devices, Inc",['2020'],,,0,Multinational semiconductor company AMD commits to reduce  scope 1 and 2 emissions 20% by 2020 from a 2014 base-year,x,,
"Advanced Micro Devices, Inc",['2020'],,,1, AMD also commits to improve the compute performance per watt of energy consumed by their mobile APU processors by 2500% by 2020 from a 2014 base-year,x,,
"Advanced Micro Devices, Inc",['2020'],,,2,"AMD also has a goal for suppliers' wafer foundry scope 1 emissions to stay 30% below the Semiconductor Industry Association average, and for wafer foundry electricity use to stay 40% below the industry average, using a normalized manufacturing index",,,
"Advantech Co., Ltd.",['2030'],,,0,Advantech Co,,,
"Advantech Co., Ltd.",['2030'],,,1,", Ltd",,,
"Advantech Co., Ltd.",['2030'],,,2,commits to reduce scope 1 and 2 GHG emissions 60% per million NTD revenue by 2030 from a 2019 base year,x,,
"Advantech Co., Ltd.",['2030'],,,3,Advantech Co,,,
"Advantech Co., Ltd.",['2030'],,,4,", Ltd",,,
"Advantech Co., Ltd.",['2030'],,,5,also commits to reduce scope 3 GHG emissions from use of sold products 49% per million NTD revenue by 2030 from a 2019 base year,x,,
Advantest Corporation,"['FY2030', '2030']",,,0,ADVANTEST CORPORATION commits to reduce absolute scope 1 and 2 GHG emissions 60% by FY2030 from a FY2018 base year,x,,
Advantest Corporation,"['FY2030', '2030']",,,1,ADVANTEST CORPORATION also commits to reduce absolute scope 3 GHG emissions 15% within the same timeframe,,,
Agder Energi,"['2030', '2025']",,,0,Agder Energi commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year,x,,
Agder Energi,"['2030', '2025']",,,1,"Agder Energi commits that 82% of its suppliers by emissions covering purchased goods and services, will have science-based targets by 2025",x,,
Agendi Inc,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Agendi Inc,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/,,,
Agendi Inc,['2030'],,,2,Agendi Inc,,,
Agendi Inc,['2030'],,,3,"commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Agrial,['2035'],,,0,"Agrial, a French agricultural and agri-food co-operative, commits to reduce absolute scope 1 and 2 GHG emissions 48% by 2035 from a 2019 base year",x,,
Agrial,['2035'],,,1,Agrial also commits to reduce absolute scope 3 GHG emissions 27% within the same timeframe,,,
Aguas Andinas S.A.,['2030'],,,0,Chilean water utility company Aguas Andinas S.A. commits to reduce absolute scope 1 and 2 GHG emissions 54% by 2030 from a 2017-2018 base year period,x,,
Aguas Andinas S.A.,['2030'],,,1,"Aguas Andinas S.A. also commits to reduce absolute scope 3 GHG emissions 16% over the same time frame covering emissions from purchased good and services, upstream and downstream transportation and distribution and waste generated in operations",,,
Aguas Andinas S.A.,['2030'],,,2,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
Air Liquide Group S.A.,['2035'],,,0,Air Liquide commits to reduce absolute scope 1 and 2 GHG emissions 35% by 2035 from 2021 base year,x,,
Air Liquide Group S.A.,['2035'],,,1,Air Liquide also commits to reduce absolute scope 3 GHG emissions from use of fossil fuel products sold 60% within the same timeframe,,,
Air New Zealand,['2030'],,,0,Air New Zealand commits to reduce well-to-wake GHG emissions related to jet fuel  28,,,
Air New Zealand,['2030'],,,1,"9% per revenue tonne kilometre (RTK), equivalent to a 16",,,
Air New Zealand,['2030'],,,2,"3% absolute  reduction, by 2030 from a 2019 base year",x,,
Air New Zealand,['2030'],,,3,* **,,,
Air New Zealand,['2030'],,,4,* Non-CO2e effects which may also contribute to aviation induced warming are not included in this target,,,
Air New Zealand,['2030'],,,5,Air New Zealand commits to report publicly on its  collaboration with stakeholders to improve understanding of opportunities to  mitigate the non-CO2e impacts of aviation annually over its target timeframe,,,
Air New Zealand,['2030'],,,6,**The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
"Airbnb, Inc",['2030'],,,0,"Airbnb, Inc",,,
"Airbnb, Inc",['2030'],,,1,commits to reduce absolute scope 1 and 2 GHG emissions 78,,,
"Airbnb, Inc",['2030'],,,2,4% by 2030 from a 2019 base year,x,,
"Airbnb, Inc",['2030'],,,3,"Airbnb, Inc",,,
"Airbnb, Inc",['2030'],,,4,also commits to increase annual sourcing of renewable electricity from 0% in 2019 to 100% by 2030,x,,
"Airbnb, Inc",['2030'],,,5,"Airbnb, Inc",,,
"Airbnb, Inc",['2030'],,,6,further commits to reduce scope 3 GHG emissions 55% per M USD of gross profit by 2030 from a 2019 base year,x,,
"Ajinomoto Co., Inc.",['2030'],,,0,Ajinomoto Co,,,
"Ajinomoto Co., Inc.",['2030'],,,1,", Inc",,,
"Ajinomoto Co., Inc.",['2030'],,,2,commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year,x,,
"Ajinomoto Co., Inc.",['2030'],,,3,Ajinomoto Co,,,
"Ajinomoto Co., Inc.",['2030'],,,4,", Inc",,,
"Ajinomoto Co., Inc.",['2030'],,,5,also commits to reduce scope 3 GHG emissions 24% per ton of production over the same target period,,,
AkzoNobel,['2030'],,,0,Dutch multinational paints and coatings company AkzoNobel NV commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from a FY2020 base year,x,,
AkzoNobel,['2030'],,,1,"AkzoNobel NV also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, processing of sold products, and end-of-life treatment of sold products 42% by 2030 from a 2020 base year",x,,
Alaya Consulting Ltd.,['2023'],,,0,Environmental Management & Consultancy Service Alaya Consulting commits to reduce scope 1 and 2 GHG emissions 47% per m2 by 2023 from a 2017 base year,x,,
Alaya Consulting Ltd.,['2023'],,,1,"Alaya Consulting also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, capital goods, waste generated in operations, business travel and employee commuting 7% by 2023 from a 2017 base year",x,,
"Albertsons Companies, Inc",['2030'],,,0,"Albertsons Companies, Inc commits to reduce absolute scope 1 and 2 GHG emissions 47% by 2030 from the 2019 base year*",x,,
"Albertsons Companies, Inc",['2030'],,,1,Albertsons Companies also commits to reduce scope 3 GHG emissions from the use of sold products 27,,,
"Albertsons Companies, Inc",['2030'],,,2,5% within the same timeframe,,,
"Albertsons Companies, Inc",['2030'],,,3,"Furthermore, Albertsons Companies commits that 63% of its suppliers by emissions covering purchased goods and services will have science-based targets by 2026",,,
"Albertsons Companies, Inc",['2030'],,,4,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
Alison Hayes,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Alison Hayes,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Alison Hayes commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Allbirds,['2030'],,,0,"Allbirds commits to reduce absolute scope 1, 2 and 3 GHG emissions 42% by 2030 from a 2020 base year",x,,
Allegro,['2030'],,,0,Allegro commits to reduce absolute scope 1 and 2 GHG emissions 37,,,
Allegro,['2030'],,,1,8% by 2030 from a 2021 base year,x,,
Allegro,['2030'],,,2,"Allegro also commits that 73% of its suppliers by spend covering purchased goods & services, capital goods, and downstream transportation and distribution will have science-based targets by 2027",,,
Allen & Overy LLP,['2030'],,,0,"Allen & Overy LLP commits to reduce absolute scope 1,2 and 3 GHG emissions 50% by 2030 from a 2019 base year",x,,
Allens,"['FY2030', '2030']",,,0,"Allens commits to reduce absolute scope 1, 2 and 3 GHG emissions 50% by FY2030 from a FY2019 base year",x,,
Allglass Windscreens Repair Ltd,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Allglass Windscreens Repair Ltd,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Allglass Windscreens Repair Ltd commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
Alliance Construction Materials Limited,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Alliance Construction Materials Limited,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/Alliance Construction Materials Limited commits to reduce scope 1 and scope 2 GHG emissions 25% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
Allied Sustainability and Environmental Consultants Group Limited,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Allied Sustainability and Environmental Consultants Group Limited,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Allied Sustainability and Environmental Consultants Group Limited commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Alma Media,['2030'],,,0,Media Company Alma Media commits to reduce absolute scope 1 and scope 2 GHG emissions 52% by 2030 from a 2019 base year,x,,
Alma Media,['2030'],,,1,Alma Media also commits to reduce absolute scope 3 GHG emissions 14% within the same timeframe,,,
Almhaga AB,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Almhaga AB,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/Almhaga AB commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Alpek Polyester,['2030'],,,0,Alpek Polyester commits to reduce scope 1 and 2 GHG emissions 31,,,
Alpek Polyester,['2030'],,,1,"5% per tonne of product by 2030 from a 2020 base year, equivalent to a 25% absolute reduction",x,,
Alpek Polyester,['2030'],,,2,Alpek Polyester also commits to reduce scope 3 GHG emissions 20% per tonne of product within the same timeframe,,,
Alpek S.A.B. de C.V.,['2030'],,,0,Alpek commits to reduce absolute scope 1 and 2 GHG emissions by 27,,,
Alpek S.A.B. de C.V.,['2030'],,,1,5% by 2030 from a 2019 base year,x,,
Alpek S.A.B. de C.V.,['2030'],,,2,Alpek also commits to reduce scope 3 emissions by 13,,,
Alpek S.A.B. de C.V.,['2030'],,,3,5% within the same timeframe,,,
Alpkit,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Alpkit,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/,,,
Alpkit,['2030'],,,2,"Alpkit commits to reduce absolute scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
Alstom,"['2025', '2030']",,,0,Alstom commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2025 from a 2019 base year,x,,
Alstom,"['2025', '2030']",,,1,Alstom commits to reduce scope 3 GHG emissions from the use of sold products from rolling stock 35% per passenger-km and 35% per ton-km by 2030 from a 2019 base year,x,,
"Altech Co.,Ltd.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"Altech Co.,Ltd.",['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ Altech Co,,,
"Altech Co.,Ltd.",['2030'],,,2,",Ltd",,,
"Altech Co.,Ltd.",['2030'],,,3,"commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
Altri SGPS S.A.,['2030'],,,0,"Altri commits to reduce scope 1 and 2 GHG emissions 51% per ton of air dried pulp by 2030 from a 2020 base year, translating to a 43% reduction in absolute emissions",x,,
Altri SGPS S.A.,['2030'],,,1,"* Altri also commits to reduce scope 3 GHG emissions from purchased goods and services, fuel and energy related activities, upstream transportation, waste generated in operations, downstream transportation, and processing of sold products 25% per ton of air dried pulp by 2030 from a 2020 base year, translating to a 13% reduction in absolute emissions",x,,
Altri SGPS S.A.,['2030'],,,2,* The target boundary includes land-related emissions and removals from bioenergy feedstocks,,,
"Altria Group, Inc.",['2030'],,,0,Altria commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2017 base year,x,,
"Altria Group, Inc.",['2030'],,,1,Altria also commits to reduce absolute scope 3 GHG emissions 18% by 2030 from a 2017 base year,x,,
Alvinesa Natural Ingredients,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Alvinesa Natural Ingredients,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/  Alvinesa Natural Ingredients commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Amalgamated Bank,['2030'],,,0,Amalgamated Bank’s portfolio targets cover 56% of total investment and lending activities as of 2020,,,
Amalgamated Bank,['2030'],,,1,Full target: https://sciencebasedtargets.org/resources/files/Target-language-and-summary_AB.docx,,,
Amalgamated Bank,['2030'],,,2,pdf,,,
Ambuja Cement Ltd,['2030'],,,0,Ambuja Cements Limited commits to reduce scope 1 and scope 2 GHG emissions by 21% per ton of cementitious materials by 2030 from a 2020 base year,x,,
Ambuja Cement Ltd,['2030'],,,1,With this target Ambuja commits to reduce scope 1 GHG emissions by 20% per ton of cementitious material and scope 2 GHG emissions by 43% per ton of cementitious materials in this timeframe,,,
Ambuja Cement Ltd,['2030'],,,2,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
Amdocs Ltd.,['2024'],,,0,Amdocs Ltd,,,
Amdocs Ltd.,['2024'],,,1,commits to reduce absolute scope 1 and 2 GHG emissions 21% by FY2024 from a FY2019 base year,x,,
Amdocs Ltd.,['2024'],,,2,Amdocs Ltd,,,
Amdocs Ltd.,['2024'],,,3,Also commits to reduce absolute scope 3 GHG emissions 13% over the same period,,,
"America Movil, S.A.B. de C.V.",['2030'],,,0,"America Movil, S.A.B. de C.V. commits to reduce absolute scope 1 and 2 GHG emissions 52% by 2030 from a 2019 base year",x,,
"America Movil, S.A.B. de C.V.",['2030'],,,1,América Móvil also commits to reduce absolute scope 3 GHG emissions 14% by 2030 from a 2019 base year,x,,
